1.234 -7,49 -1,81 2 4 4 -8,89 0 0 -10,00 1 2 -9,00 -9,76 0
0 -4,54 -7,77 2 1 1 -7,87 0 1 -9,40 1 2 -8,00 -10,00 0
1 -6,67 -8,04 2 8 4 -8,42 1 1 -8,21 0 2 -8,16 -9,88 1
1 -7,54 -9,61 1 14 4 -9,97 1 1 -9,70 1 2 -1,60 -9,99 1
1 -3,83 -7,86 2 13 8 -4,80 1 0 -10,00 1 2 -10,00 -10,00 1
1 1,45 -7,86 1 1 1 -8,95 0 0 -10,00 0 2 -8,20 -10,00 0
0 -4,64 -8,93 2 1 1 -10,00 0 1 -9,40 1 2 -8,00 -9,98 0
1 -2,58 -9,50 2 8 4 -9,74 0 1 -9,40 0 2 -7,75 -9,90 0
1 -2,35 -8,78 2 14 4 -9,91 1 1 -8,51 1 2 -5,20 -10,00 1
1 -8,67 -8,24 2 8 7 -9,33 0 1 -9,40 1 2 -8,40 -9,88 0
1 -2,41 -6,43 2 13 4 -7,54 1 1 -7,01 1 2 -10,00 -10,00 1
1 -8,12 -2,11 2 8 4 -8,60 0 0 -10,00 1 2 -8,64 -10,00 0
1 -4,29 -8,34 2 2 8 -5,96 0 0 -10,00 1 2 -7,08 -10,00 0
1 -8,55 -5,92 2 2 4 -9,62 0 0 -10,00 0 2 -8,80 -10,00 0
0 -9,37 -4,56 2 11 4 -9,91 0 1 -9,70 1 2 -10,00 -9,97 0
1 -2,31 -5,81 2 13 8 -2,98 1 1 -5,82 1 2 -6,01 -10,00 1
0 -8,25 -9,53 2 9 4 -8,83 0 0 -10,00 0 2 -7,80 -10,00 0
1 -7,72 -2,50 2 8 4 -7,89 1 0 -10,00 1 2 -10,00 -10,00 1
0 -7,32 -9,46 2 8 4 -8,60 0 1 -9,40 1 2 -8,00 -9,92 0
1 -6,42 -7,68 2 8 8 -8,39 0 1 -9,70 1 2 -5,84 -10,00 0
1 -7,80 -2,80 1 10 8 -9,12 0 0 -10,00 0 2 -7,40 -10,00 0
0 0,60 -8,93 2 5 3 -10,00 1 0 -10,00 1 2 -9,00 -9,99 0
1 -7,92 -6,22 2 11 4 -9,74 1 1 -9,70 0 2 -8,40 -10,00 0
0 -8,22 -9,85 2 11 8 -9,80 1 1 -6,72 0 2 -9,20 -9,98 1
1 -7,57 -9,82 2 2 8 -9,53 1 0 -10,00 1 2 -10,00 -10,00 1
1 -6,07 -9,61 2 4 1 -10,00 0 0 -10,00 0 2 -9,00 -10,00 0
0 -2,53 -6,43 2 13 4 -0,53 1 0 -10,00 1 2 -0,20 -10,00 0
0 0,93 -1,04 2 6 4 -8,39 1 1 -9,10 1 2 -8,44 -10,00 1
0 -9,40 -9,74 2 8 4 -9,30 0 0 -10,00 0 2 -8,80 -10,00 0
0 -6,77 -0,89 2 8 5 -6,67 1 1 -9,40 0 2 -9,27 -9,91 1
1 -7,82 -6,58 1 9 4 -8,42 1 1 -9,70 1 2 -9,20 -9,94 1
1 -7,49 -2,14 2 13 4 -9,53 1 0 -10,00 0 2 -9,00 -10,00 1
1 2,28 -3,28 2 1 1 0,12 1 1 -6,72 1 2 -9,70 -9,94 1
1 -8,70 -6,07 2 4 4 -9,65 1 0 -10,00 0 2 -9,20 -10,00 1
1 -3,11 -6,85 1 4 4 -9,82 1 1 -7,01 1 2 -6,80 -10,00 1
1 -2,66 -2,77 2 14 4 -8,25 1 1 -8,21 0 2 -4,80 -9,96 1
1 -7,57 -8,90 2 4 4 -9,94 0 0 -10,00 1 2 -6,44 -10,00 0
0 1,48 -5,36 2 3 5 -7,84 0 0 -10,00 1 2 -9,27 -10,00 0
1 -7,47 -8,39 2 3 4 -9,91 0 0 -10,00 0 2 -8,40 -10,00 0
1 1,63 -8,93 2 2 4 -7,37 0 0 -10,00 1 2 -10,00 -9,93 0
0 4,19 -6,43 2 6 4 -7,19 1 1 -8,81 0 2 -10,00 -9,98 1
1 -8,07 -5,99 2 9 4 -8,80 1 0 -10,00 0 1 -8,80 -10,00 1
1 -7,14 -7,14 2 8 5 -9,82 1 0 -10,00 1 2 -8,40 -10,00 1
1 -3,26 -9,70 1 9 4 -9,80 0 0 -10,00 1 2 -6,91 -10,00 0
0 -1,43 -8,75 1 8 4 -10,00 0 0 -10,00 1 2 -8,50 -10,00 0
1 -7,04 -9,41 2 3 8 -9,94 0 0 -10,00 1 2 -7,80 -10,00 0
0 -3,31 -9,29 2 8 4 -8,60 1 1 -6,72 0 2 -10,00 -9,91 1
1 -2,23 -6,43 2 1 1 -10,00 0 1 -9,40 0 2 -9,83 -10,00 0
0 -8,48 -6,85 1 8 8 -7,89 1 0 -10,00 0 2 -7,60 -10,00 1
1 -5,94 -9,56 2 6 4 -9,68 1 0 -10,00 1 2 -8,00 -10,00 0
1 -4,38 -7,86 2 2 4 -9,88 0 0 -10,00 1 2 -8,80 -10,00 0
1 -8,29 -8,93 1 13 4 -8,60 1 0 -10,00 1 2 -9,00 -10,00 0
0 -7,34 -2,32 2 11 4 -9,71 1 1 -8,51 1 2 -10,00 -9,89 1
1 -2,13 -5,56 2 11 4 -9,97 1 1 -9,70 0 2 -8,00 -9,94 1
1 -7,32 -9,89 2 8 3 -8,42 0 0 -10,00 1 1 -10,00 -10,00 1
0 -7,09 -9,44 1 11 4 -8,95 1 1 -9,40 1 2 -9,20 -9,92 1
0 -5,11 -6,22 2 10 2 -8,42 1 1 -8,51 1 2 -9,01 -9,90 1
0 -2,01 -4,61 1 11 8 -4,39 1 1 -5,82 0 2 -10,00 -9,54 1
0 -3,08 -6,34 2 10 4 -6,49 1 0 -10,00 1 2 -10,00 -9,20 1
1 -4,81 -8,51 2 8 4 -9,94 0 0 -10,00 0 2 -7,00 -10,00 0
0 -6,57 -7,95 2 14 8 -9,39 1 0 -10,00 0 2 -6,40 -10,00 1
1 -5,89 -1,07 2 6 5 -9,82 0 0 -10,00 1 2 -2,80 -10,00 0
1 -4,64 -7,14 2 14 4 -6,49 1 1 -9,10 1 2 -7,10 -9,54 1
1 -3,89 -5,36 2 6 4 -9,91 1 0 -10,00 1 2 -5,57 -10,00 0
1 -7,49 -8,34 2 4 4 -9,47 0 0 -10,00 0 2 -8,20 -10,00 0
1 -4,79 -7,80 2 8 4 -8,25 0 1 -9,40 1 2 -8,40 -9,99 0
1 -4,64 -9,64 2 8 5 -9,41 1 0 -10,00 1 1 -6,80 -10,00 0
1 -9,32 -7,77 2 9 4 -9,94 0 1 -9,70 0 2 -10,00 -10,00 0
1 -5,94 -8,81 2 13 8 -6,43 1 1 -7,31 0 2 -6,01 -9,83 1
1 -6,57 -7,86 2 8 4 -9,12 0 1 -9,70 0 2 -10,00 -10,00 0
1 6,24 -6,07 2 10 9 -0,88 1 1 -9,70 1 2 -10,00 -10,00 1
0 -8,48 -3,21 2 9 4 -8,86 1 1 -8,21 1 2 -9,60 -9,88 1
0 -5,94 -9,80 2 7 8 -9,91 0 1 -9,70 1 2 -7,28 -9,98 0
0 -8,25 -9,53 1 8 4 -9,30 0 1 -9,70 0 2 10,00 -10,00 0
1 -4,89 -8,87 2 2 4 -9,59 0 0 -10,00 1 1 -10,00 -10,00 0
0 0,98 -9,41 2 6 4 -9,65 0 0 -10,00 1 2 -7,60 -9,98 0
1 -4,79 -8,93 1 9 4 -9,97 0 0 -10,00 0 1 -8,40 -10,00 0
1 1,38 0,71 2 8 4 -4,04 1 1 -7,31 0 2 -10,00 -10,00 1
0 -3,13 -9,80 2 1 1 -10,00 0 1 -7,01 0 2 -8,00 -10,00 0
1 -4,04 -8,04 2 7 4 -7,02 1 1 -8,21 0 2 -7,96 -10,00 1
0 -7,87 -7,86 2 6 4 -9,97 1 0 -10,00 0 2 -9,00 -10,00 1
1 -3,26 2,94 2 9 4 -9,94 0 0 -10,00 0 2 -6,80 -9,29 0
1 1,13 -9,59 2 1 1 -10,00 0 0 -10,00 0 2 -8,55 -10,00 0
0 -7,04 -9,41 2 11 4 -9,71 0 1 -9,70 1 2 -8,00 -10,00 0
1 -3,56 -6,79 2 14 8 -5,96 0 0 -10,00 1 1 -2,89 -10,00 1
0 3,43 5,00 2 3 5 -2,98 1 1 -6,12 0 2 -10,00 -8,66 1
1 -5,64 -9,38 2 7 4 -9,33 1 1 -9,10 1 2 -6,04 -10,00 1
1 -4,64 -9,56 2 4 4 -9,82 0 0 -10,00 0 2 -6,20 -9,60 0
0 -4,59 -7,86 1 5 3 -10,00 0 0 -10,00 0 2 -8,40 -10,00 0
1 -8,29 -5,36 2 9 8 -8,98 1 1 -7,91 0 2 -9,20 -9,41 1
1 -2,38 -5,71 2 7 4 -9,09 1 1 -8,51 1 2 -8,92 -9,78 1
1 -9,00 -7,65 2 3 4 -9,76 0 0 -10,00 1 2 -8,60 -10,00 0
1 -0,65 -5,00 1 8 4 -8,86 0 0 -10,00 0 2 -8,40 -10,00 0
1 -9,25 -10,00 1 6 4 -9,82 0 0 -10,00 0 2 -9,40 -10,00 0
0 -1,75 -5,36 2 11 4 -9,65 1 1 -9,10 1 2 -8,55 -10,00 1
1 -5,44 0,71 2 8 8 -6,26 1 1 -6,72 0 2 -10,00 -9,54 1
0 -6,26 -8,57 2 5 3 -10,00 0 0 -10,00 1 2 -7,24 -10,00 0
1 -2,53 -7,62 2 9 4 -7,19 1 1 -5,82 0 2 -6,17 -9,73 1
1 -6,57 -5,71 2 8 4 -9,30 1 1 -9,10 0 2 -10,00 -10,00 1
0 -5,66 -9,74 2 11 4 -9,59 1 1 -8,81 0 2 -9,20 -10,00 1
1 7,95 2,68 2 1 1 -10,00 1 0 -10,00 1 2 -10,00 -10,00 1
1 -7,37 -1,79 1 7 4 -8,95 0 0 -10,00 1 2 -10,00 -9,20 0
0 -5,96 -9,11 2 1 1 -10,00 0 1 -9,70 0 2 -9,08 -9,94 0
0 -8,37 -3,87 2 13 8 -9,47 1 1 -7,91 0 2 -9,04 -10,00 1
0 -6,44 -10,00 2 8 4 -10,00 0 0 -10,00 0 3 -8,16 -10,00 1
1 -4,64 -9,97 1 2 4 -7,02 0 0 -10,00 1 2 -5,40 -10,00 0
0 -7,37 -3,93 2 11 4 -8,77 1 1 -7,01 0 2 -9,20 -9,80 0
0 -7,24 -9,11 2 11 4 -9,82 0 0 -10,00 1 2 -8,80 -9,84 0
1 -7,14 -0,99 2 8 4 -9,91 0 1 -9,40 0 2 -10,00 -8,89 0
0 -5,26 -9,23 1 14 4 -9,30 0 0 -10,00 0 2 -7,20 -10,00 0
0 -4,51 -5,71 2 2 4 -9,12 0 0 -10,00 0 2 -7,28 -10,00 0
1 -6,02 -8,93 1 9 4 -9,74 1 0 -10,00 1 2 -7,40 -9,79 1
1 -8,32 -2,21 2 8 5 -9,59 0 1 -9,40 1 2 -8,00 -10,00 0
1 -3,38 -8,28 2 9 4 -9,91 0 1 -9,40 0 2 -7,80 -10,00 0
1 -8,48 -10,00 2 11 4 -9,53 0 0 -10,00 0 2 -8,40 -10,00 0
0 -5,49 -7,32 2 8 4 -9,24 1 1 -9,70 1 2 -6,29 -10,00 1
1 -3,78 -6,96 2 3 5 -7,72 1 1 -9,40 0 2 -7,26 -9,88 1
0 -4,14 -7,86 1 6 4 -8,60 0 0 -10,00 0 2 -8,20 -10,00 0
1 2,08 -3,13 2 10 4 -3,92 1 1 -8,51 0 2 -10,00 -10,00 1
1 -6,54 -9,29 2 6 4 -9,65 0 0 -10,00 0 2 -8,00 -10,00 0
1 -4,38 -8,46 1 4 1 -10,00 0 0 -10,00 0 2 -8,80 -10,00 0
0 -7,80 -6,43 1 1 1 -10,00 0 0 -10,00 0 2 -10,00 -10,00 0
0 2,86 1,43 2 5 1 -10,00 1 1 -5,52 0 2 -10,00 -9,95 1
1 -4,44 -9,89 1 8 8 -7,72 1 1 -9,70 1 2 -5,68 -8,40 1
0 -7,97 -1,55 2 8 8 -5,79 1 0 -10,00 0 2 -6,60 -10,00 1
0 -5,04 -6,07 2 4 4 -6,14 0 0 -10,00 1 1 -9,00 -10,00 0
0 -6,74 -9,52 2 6 8 -8,77 1 0 -10,00 0 2 -6,00 -10,00 0
1 -7,17 -2,06 2 14 8 -9,68 1 1 -9,70 0 2 -9,00 -10,00 1
0 -4,64 -1,96 2 1 1 -10,00 0 0 -10,00 0 2 -8,16 -8,96 0
0 -4,41 -9,61 2 13 4 -9,97 1 0 -10,00 0 2 -5,60 -7,76 1
1 -6,94 -8,93 2 2 8 -8,68 1 1 -8,21 0 2 -8,00 -9,93 1
1 -3,08 -9,91 1 8 4 -8,95 0 0 -10,00 1 2 -7,68 -9,98 1
1 -5,16 -9,11 1 4 4 -9,82 0 0 -10,00 0 2 -7,76 -10,00 0
0 -6,89 -9,64 2 11 8 -9,12 1 1 -9,70 0 2 -10,00 -9,86 1
1 -7,77 -9,82 1 8 8 -9,82 0 0 -10,00 0 2 -7,20 -9,96 0
1 -4,69 1,07 2 8 4 -9,65 1 0 -10,00 0 2 -8,80 -10,00 0
1 -7,27 -7,86 2 7 4 -9,09 1 1 -9,70 0 2 -7,40 -9,84 1
1 -2,86 -8,75 1 8 5 -9,82 1 0 -10,00 1 2 -8,36 -9,92 0
0 -6,67 -6,79 2 9 4 -9,30 0 0 -10,00 1 2 -6,40 -10,00 0
1 -3,21 -7,29 2 9 4 -9,18 1 0 -10,00 1 2 -8,00 -10,00 0
0 0,08 -9,46 2 11 8 -8,07 1 1 -9,70 0 2 -6,67 -9,82 1
1 -4,49 -7,14 1 13 4 -8,95 0 0 -10,00 1 2 -8,80 -10,00 0
0 -4,94 -2,39 2 11 8 -9,94 0 1 -6,42 1 2 -8,71 -10,00 0
1 -5,77 -8,90 2 9 4 -7,37 1 1 -8,51 1 2 -9,00 -10,00 1
1 2,35 1,07 2 10 9 -10,00 1 1 -4,03 0 2 -8,48 -9,97 0
1 -9,30 -9,46 2 8 4 -8,77 1 1 -8,51 1 2 -6,48 -9,86 1
1 -6,74 -1,07 2 9 4 -9,39 1 0 -10,00 1 2 -7,40 -10,00 0
1 -4,31 -6,07 2 11 8 -6,14 1 1 -6,42 1 2 -5,92 -9,80 1
1 -5,06 -9,64 2 8 4 -8,77 1 1 -6,72 0 2 -9,68 -9,89 1
1 -7,44 -9,67 2 4 4 -9,91 0 0 -10,00 1 2 -7,20 -9,99 0
1 -1,58 -9,31 2 14 4 -8,25 1 0 -10,00 0 2 -4,90 -9,88 1
1 -3,11 -8,57 2 3 4 -9,82 0 0 -10,00 1 2 -7,79 -10,00 0
1 -6,37 -0,84 2 13 4 -9,65 0 0 -10,00 0 2 -10,00 -10,00 0
1 -5,14 -8,69 2 8 8 -6,96 1 0 -10,00 0 2 -7,40 -9,96 1
1 -8,10 -9,82 2 11 4 -9,91 0 0 -10,00 0 2 -8,00 -10,00 0
1 -8,22 -9,74 2 11 4 -8,60 1 1 -9,40 1 2 -9,20 -10,00 1
1 1,33 -9,97 2 14 8 -9,97 1 0 -10,00 0 2 -10,00 -9,40 1
1 4,74 -5,00 2 10 9 -10,00 0 0 -10,00 0 2 -10,00 -10,00 0
1 -1,93 -7,65 2 7 4 -7,54 0 0 -10,00 1 1 -6,00 -10,00 0
0 -9,23 -9,85 2 6 4 -9,91 0 0 -10,00 0 2 -8,00 -10,00 0
1 -5,26 -9,59 2 9 4 -9,80 0 1 -9,70 0 2 -6,60 -9,44 0
1 -3,91 -6,79 2 6 4 -9,30 1 0 -10,00 1 2 -7,60 -10,00 0
0 7,39 -10,00 2 8 4 -10,00 0 0 -10,00 0 3 -8,16 -10,00 1
1 -1,50 -9,86 2 3 8 -6,40 1 0 -10,00 0 2 -6,00 -10,00 1
0 -7,37 -2,14 1 11 4 -7,89 1 0 -10,00 1 2 -7,32 -10,00 0
1 -6,79 -8,57 2 10 2 -9,88 0 1 -9,40 0 2 -6,80 -9,74 0
1 -0,80 -9,64 2 3 8 -6,49 1 0 -10,00 1 2 -6,80 -10,00 1
0 -7,22 -1,61 2 14 8 -9,65 1 1 -9,40 1 2 -7,00 -9,89 1
1 -3,78 -9,05 2 3 5 -9,91 0 0 -10,00 1 2 -5,60 -9,10 0
1 -7,19 -1,79 2 3 4 -7,54 1 1 -7,31 0 2 -9,44 -9,85 1
1 -6,34 -9,38 2 4 4 -9,74 0 1 -9,40 1 2 -8,26 -10,00 0
0 -8,85 -3,57 2 6 4 -9,04 1 0 -10,00 1 2 -10,00 -10,00 1
1 -7,99 -9,23 2 11 4 -8,95 0 0 -10,00 0 2 -8,92 -10,00 0
1 -4,61 1,54 2 2 4 -7,89 1 1 -7,31 0 2 -7,50 -9,85 1
0 3,18 -8,57 2 1 1 -5,44 0 1 -9,70 0 2 -10,00 -10,00 0
1 3,81 -8,90 2 11 4 -9,91 1 0 -10,00 1 2 -7,40 -10,00 1
0 5,46 0,00 2 1 1 -10,00 1 1 -6,72 1 2 -10,00 -9,72 1
1 -5,09 -9,26 1 3 5 -9,65 1 1 -7,01 1 2 -8,68 -9,99 0
1 0,48 -5,36 2 11 8 -5,79 1 0 -10,00 1 2 -6,50 -10,00 1
0 -7,04 -1,79 1 4 8 -7,89 0 0 -10,00 1 2 -9,80 -10,00 0
1 -8,07 -3,39 2 8 4 -8,83 1 1 -9,10 1 2 -9,60 -9,99 1
1 0,35 -4,56 2 9 8 0,88 1 1 -6,42 0 2 -10,00 -9,84 1
1 -7,14 -8,93 2 11 4 -8,33 1 1 -9,10 1 2 -10,00 -9,88 1
1 -4,44 0,00 1 1 1 -10,00 0 1 -9,40 0 2 -8,40 -10,00 0
1 -4,04 -9,76 1 13 4 -9,94 0 0 -10,00 0 2 -8,20 -10,00 0
1 -7,04 -9,67 1 9 4 -8,16 1 1 -8,21 1 2 -7,92 -9,93 0
1 -9,05 -9,76 1 4 4 -9,80 0 0 -10,00 0 1 -8,00 -10,00 0
0 -7,87 -3,93 2 8 4 -9,88 0 0 -10,00 0 2 -10,00 -9,93 0
0 4,08 1,79 2 11 4 -2,28 1 0 -10,00 1 2 -9,79 -7,89 1
1 -4,64 -6,43 1 6 4 -4,04 1 0 -10,00 0 2 -10,00 -10,00 0
0 -6,62 -1,19 2 13 8 -7,54 1 1 -8,21 0 2 -6,00 -9,91 1
1 -7,67 -3,04 2 8 4 -9,82 1 0 -10,00 0 2 -8,60 -10,00 0
1 -7,99 -10,00 2 8 4 -10,00 0 0 -10,00 0 3 -8,16 -10,00 0
0 -6,54 -0,36 1 1 1 -8,60 0 1 -9,70 1 2 -8,00 -10,00 0
1 -1,25 -6,70 2 11 4 -6,79 1 0 -10,00 0 1 -10,00 -10,00 1
1 -6,11 -8,75 1 8 4 -9,30 1 1 -8,51 1 2 -8,40 -8,84 1
1 3,26 -4,97 2 7 4 -0,18 1 1 -8,21 1 2 -6,40 -9,73 1
1 2,68 -1,79 2 1 1 -6,49 1 1 -8,51 0 2 -10,00 -8,23 1
1 1,30 -2,86 2 3 5 -10,00 1 1 -6,72 0 2 -10,00 -9,75 1
1 -2,16 -9,64 2 7 4 -9,82 1 0 -10,00 0 1 -7,12 -10,00 0
1 -5,84 -8,54 1 6 4 -8,60 1 1 -9,10 1 2 -6,30 -9,89 1
1 -5,06 -5,36 2 13 4 -7,81 1 1 -7,61 0 2 -6,70 -9,76 1
1 1,45 -8,54 1 1 1 -8,95 0 0 -10,00 0 2 -8,80 -10,00 0
0 -6,62 -2,14 1 6 4 -6,84 1 0 -10,00 0 2 -8,80 -10,00 0
1 -5,21 -9,46 1 8 4 -9,97 0 0 -10,00 0 2 -7,60 -10,00 0
0 -4,01 -9,74 2 13 4 -9,74 0 0 -10,00 0 2 -7,00 -9,99 1
1 -6,39 -9,46 2 8 5 -9,82 1 0 -10,00 0 2 -6,51 -10,00 1
0 -5,51 -9,26 2 8 4 -8,25 1 1 -8,51 1 2 -7,00 -9,71 1
0 -8,70 -9,74 3 13 1 -2,98 0 0 -10,00 1 1 -7,00 -10,00 1
1 -7,99 -5,00 2 8 4 -8,86 1 1 -9,10 0 2 -8,00 -9,72 1
1 -8,87 5,71 3 1 7 -10,00 0 0 -10,00 1 3 -5,50 10,00 1
1 -8,70 -5,18 1 7 4 -9,97 0 0 -10,00 0 2 -8,60 -10,00 0
1 0,20 -8,21 2 7 5 -8,25 1 1 -6,42 1 2 -5,90 -9,50 1
1 3,13 -3,93 2 10 8 -5,09 1 1 -9,10 0 2 -10,00 -10,00 1
1 -10,00 -7,14 1 9 4 -8,77 1 1 -9,40 1 2 -8,80 -9,80 1
1 -8,32 -3,21 2 11 4 -9,30 1 0 -10,00 1 2 -9,40 -9,92 1
0 -7,54 -1,67 2 4 8 -9,94 0 0 -10,00 0 2 -6,80 -10,00 0
1 -8,85 -2,86 2 9 8 -9,88 0 1 -9,70 0 2 -8,80 -10,00 0
1 -3,66 -8,21 1 9 4 -7,89 0 0 -10,00 0 1 -8,00 -10,00 0
1 -5,36 -7,50 2 9 4 -7,54 1 1 -9,10 1 2 -6,71 -10,00 0
1 -7,69 -9,46 1 12 7 -9,47 0 0 -10,00 1 2 -8,68 -10,00 0
1 -8,67 -2,68 2 8 8 -9,24 0 0 -10,00 0 2 -6,80 -10,00 0
1 -5,71 -7,86 2 9 4 -9,47 0 0 -10,00 1 2 -7,00 -9,99 0
0 -0,35 -2,50 2 11 4 -6,49 1 1 -7,91 1 2 -10,00 -10,00 1
1 -7,29 -1,79 2 3 4 -9,71 0 0 -10,00 0 2 -10,00 -10,00 0
0 -4,64 -7,50 2 2 4 -7,89 1 0 -10,00 1 2 -7,00 -10,00 0
0 -7,99 -4,64 2 4 4 -8,95 1 1 -9,70 0 2 -8,40 -9,95 1
0 -7,74 -8,34 2 3 5 -9,65 1 1 -8,81 0 1 -9,20 -10,00 1
1 -6,11 -6,96 2 13 4 -6,99 1 1 -9,70 1 2 -8,80 -10,00 1
0 -5,92 -8,81 2 1 1 -10,00 0 0 -10,00 0 2 -6,60 -10,00 0
1 -1,48 -9,26 2 9 4 -6,49 1 1 -8,21 1 2 -5,00 -8,00 1
0 -8,65 -2,86 2 9 4 -9,30 0 1 -9,70 0 2 -8,80 -10,00 0
0 -5,56 -9,29 2 11 4 -9,30 1 1 -9,40 1 2 -8,33 -9,90 0
0 -7,67 -5,71 2 6 4 -8,25 1 1 -9,10 0 2 -9,20 -9,82 1
1 -7,57 -2,14 2 14 4 -9,80 1 1 -8,21 0 2 -8,79 -10,00 1
1 -7,54 -9,64 2 8 4 -9,91 0 0 -10,00 0 2 -6,40 -10,00 0
1 -4,31 -3,57 1 9 8 -6,32 1 0 -10,00 1 2 -8,46 -10,00 1
0 -0,50 -9,29 2 11 4 -9,91 0 0 -10,00 1 2 -7,37 -10,00 0
0 -7,04 -9,59 1 1 1 -9,91 0 0 -10,00 0 2 -8,80 -9,98 0
0 -8,75 -9,61 2 8 4 -8,77 0 1 -9,70 1 2 -9,20 -10,00 0
1 -4,21 -8,21 1 9 4 -5,09 0 0 -10,00 1 2 -7,20 -10,00 0
0 -7,32 -9,76 2 11 4 -9,47 0 0 -10,00 0 1 -8,40 -10,00 0
1 -3,71 -9,23 2 7 4 -9,18 0 0 -10,00 0 1 -9,72 -10,00 0
1 -5,21 -8,99 2 9 8 -9,47 1 1 -9,70 0 2 -7,60 -9,98 1
1 -4,56 -8,21 2 6 4 -4,74 1 0 -10,00 1 2 -4,77 -10,00 0
0 -7,92 -8,69 2 11 4 -8,54 1 1 -8,51 0 2 -7,80 -9,50 1
1 -3,98 -8,04 2 3 5 -10,00 0 0 -10,00 0 2 -8,20 -10,00 0
1 -7,49 -9,41 2 8 8 -8,48 0 0 -10,00 1 2 -8,72 -10,00 1
0 -3,48 -1,43 2 11 8 -0,18 1 1 -7,61 0 2 -10,00 -8,68 1
1 -4,54 -6,81 2 13 8 -5,76 1 1 -9,10 0 2 -6,89 -9,94 1
0 -7,32 -9,44 2 3 4 -9,94 0 0 -10,00 0 2 -8,56 -10,00 0
1 -6,11 0,41 2 3 5 -10,00 0 0 -10,00 1 2 -8,22 -10,00 0
1 -0,90 -8,57 2 7 4 -8,77 1 1 -9,40 1 2 -10,00 -10,00 1
1 -5,06 -9,23 1 8 4 -9,97 0 0 -10,00 0 2 -8,30 -9,96 0
1 -2,78 -5,00 2 11 8 -1,93 1 1 -7,91 1 2 -7,00 -10,00 0
1 -9,00 -9,94 1 8 4 -9,97 0 0 -10,00 0 2 -8,60 -9,86 0
1 0,65 -8,36 2 1 1 -9,80 0 0 -10,00 0 2 -8,00 -10,00 0
1 -7,24 -9,88 2 7 4 -9,94 0 0 -10,00 0 1 -10,00 -10,00 0
0 -3,66 -9,11 1 3 8 -9,65 0 0 -10,00 1 2 -8,40 -10,00 0
1 -0,83 -2,14 1 2 4 -8,95 1 0 -10,00 0 1 -10,00 -10,00 0
1 3,76 -8,04 2 9 4 -8,77 1 1 -8,51 1 2 -9,40 -9,99 1
1 -6,47 -9,74 2 7 4 -9,82 1 1 -9,10 0 2 -7,40 -6,98 1
0 -1,63 -9,26 2 6 4 -9,53 0 0 -10,00 0 2 -7,60 -9,95 0
1 0,78 3,57 2 1 1 -10,00 1 1 -9,70 0 2 -9,06 -10,00 0
0 -3,93 -8,87 1 1 1 -10,00 1 0 -10,00 0 2 -6,80 -10,00 0
1 -8,37 -7,14 1 3 4 -9,30 0 0 -10,00 1 2 -6,40 -9,80 0
0 -6,77 -8,28 1 8 4 -10,00 0 0 -10,00 0 2 -8,80 -10,00 0
1 -7,12 -8,93 2 8 8 -9,01 1 0 -10,00 0 2 -5,78 -9,96 1
1 6,67 -3,57 2 1 1 -7,19 0 1 -9,70 0 2 -9,30 -10,00 0
1 0,20 -9,80 2 8 5 0,53 1 1 -4,03 0 2 -10,00 -7,00 1
0 -4,14 -8,21 1 8 4 -8,25 0 0 -10,00 1 2 -10,00 -10,00 0
1 -1,13 -7,86 2 11 8 -5,79 1 1 -6,72 0 2 -9,20 -10,00 1
1 -7,22 -9,56 1 6 4 -9,91 1 0 -10,00 0 2 -8,20 -10,00 0
1 -3,68 -8,21 2 13 5 -9,65 0 0 -10,00 0 2 -6,52 -10,00 0
1 2,88 3,21 2 2 5 0,53 1 1 -4,93 1 2 -10,00 -10,00 1
0 -0,85 -5,24 2 11 4 -4,82 1 1 -9,10 1 2 -10,00 -10,00 1
0 -0,80 -10,00 2 8 4 -8,25 1 0 -10,00 0 2 -10,00 -10,00 1
1 -3,83 -8,75 2 9 5 -9,82 1 0 -10,00 1 2 -8,37 -10,00 0
0 -0,60 -6,73 2 4 8 -9,30 0 0 -10,00 1 1 -7,60 -10,00 0
1 -4,94 -8,06 1 7 4 -9,91 0 0 -10,00 1 1 -9,20 -10,00 0
1 -5,81 -9,46 2 11 8 -9,88 0 0 -10,00 1 2 -7,80 -9,95 0
1 -8,29 -4,82 2 7 4 -9,97 0 1 -9,70 0 2 -9,00 -10,00 0
0 -1,71 -9,29 2 3 5 -8,42 1 0 -10,00 1 2 -10,00 -9,94 1
0 -7,07 -8,93 2 9 4 -9,39 0 0 -10,00 1 2 -8,40 -10,00 0
1 -4,61 -9,41 2 14 4 -9,06 1 1 -7,61 1 2 -6,97 -9,34 1
0 -8,78 -2,14 2 14 8 -9,30 1 1 -6,72 0 2 -10,00 -9,40 1
0 -4,16 -8,39 1 13 4 -7,54 0 0 -10,00 1 2 -8,00 -9,97 0
0 1,65 -5,00 2 6 8 -7,89 0 0 -10,00 0 2 -10,00 -10,00 0
0 -6,49 -9,20 2 11 4 -9,09 1 1 -9,40 0 2 -8,00 -10,00 0
1 -1,93 -8,93 2 3 5 -10,00 0 0 -10,00 0 1 -7,00 -10,00 0
1 -6,94 -9,59 1 13 8 -9,91 0 0 -10,00 0 2 -7,60 -10,00 0
1 2,71 -1,07 2 4 8 -4,39 1 0 -10,00 1 2 -9,76 -9,59 1
